Rank,Opportunity Name,Award Amount,Deadline,Opens,Score,Eligibility Status,Aerospace/NASA Fit,Action Items,Status,Next Step
1,Jack Kent Cooke Transfer Scholarship,$55000/year,~Jan 7 2027,Oct 1 2026,95,ELIGIBLE,High (transfer + financial need + GPA profile perfect match),Join Oct 1 2026 portal; prepare essays emphasizing NASA interest,URGENT - OPENS SOON,Apply immediately when portal opens Oct 1 2026
2,National Space Club Goddard Scholarship,$10000,~Feb 2027,Nov 2026,85,ELIGIBLE (after transfer),CRITICAL (direct space pipeline),Must be junior/senior at transfer school; plan faculty endorsement in first semester,PENDING TRANSFER ENROLLMENT,Enroll Fall 2026 then apply Nov 2026
3,NASA Aeronautics Scholarship & Advanced STEM Training,$15000-$45000,~Mar 2027,Nov 2026,93,REQUIRES VERIFICATION,CRITICAL (direct NASA match),Verify exact program name with NASA; likely state Space Grant consortium,VERIFICATION NEEDED,Contact NASA ARMD for exact program details
4,Lockheed Martin STEM Scholarship,$10000,~Jan 2027,Oct 2026,84,ELIGIBLE,Very High (aerospace industry leader; direct career pipeline),Research portal access Oct 2026; prepare aerospace/NASA-focused essay,URGENT - OPENS SOON,Monitor LM website/ScholarshipAmerica Oct 2026
5,SpaceX Scholarship (via AIAA),$5000,~Mar 2027,Jan 2027,83,REQUIRES AIAA MEMBERSHIP,CRITICAL (direct NASA/space fit),Join AIAA student chapter immediately at transfer school (Day 1),PENDING TRANSFER ENROLLMENT,Enroll Fall 2026; join AIAA same week
6,Astronaut Scholarship Foundation,$15000,~Apr 2027,Oct 2026,79,ELIGIBLE (after transfer),CRITICAL (astronaut mentorship network; space career pipeline),Faculty nomination required; secure in first semester at transfer school; research/lab participation essential,PENDING TRANSFER ENROLLMENT,Enroll Fall 2026; identify faculty advisor within 2 weeks
7,National GEM Consortium Fellowship,Full tuition + stipend,~Nov 2026,Ongoing,82,ELIGIBLE (planning for grad school),High (minority STEM fellowships; LaunchPad for NASA internships),Identify GEM employer sponsor at transfer school; plan for grad school applications,PLANNING PHASE,Research GEM partners at target schools Fall 2026
8,NC Space Grant Consortium,$8500 (max),~Feb 2027,Jan 2027,84,ELIGIBLE IF NC SCHOOL,CRITICAL (direct NASA pipeline for NC residents),Only applies if attending NC school (CU Boulder does NOT qualify); if attending NCSU/UNC/etc.,NC SCHOOL DEPENDENT,If attending NC school: apply Jan 2027
9,Congressional Hispanic Caucus Institute Internship,Paid placement + housing,~Apr 2027,Jan 2027,82,ELIGIBLE,Very High (congressional space policy pathway; NASA career builder),Prepare civic engagement essay; confirm space policy focus,LATER - OPENS JAN,Apply Jan 2027 for summer 2027 placement
10,NACME Scholarship,$5000+,Annual (via partner school),Rolling,85,ELIGIBLE IF PARTNER SCHOOL,Very High (minority engineering; aerospace partners),Confirm transfer school is NACME partner (CU Boulder / VT / Maryland / Ohio State / Iowa State likely are); apply through school,ENROLLMENT DEPENDENT,Enroll Fall 2026; contact school financial aid for NACME block grants
11,Boeing Company Scholarship,$5000,~Mar 2027,Nov 2026,80,ELIGIBLE,Very High (aerospace industry; direct career pipeline),Engineering focus on propulsion/systems; NASA connection essay,OPENS NOV 2026,Monitor Boeing careers website Nov 2026
12,Google Generation Scholarship,$10000,~Feb 2027,Nov 2026,82,ELIGIBLE,Medium (tech + minority engineering),If interested in tech/CS aspects of aerospace; less priority than aerospace-specific,OPENS NOV 2026,Apply if aerospace coding skills relevant
13,AIAA Foundation Undergraduate Scholarship Suite,$2000-$15000,~Jan 31 2027,Oct 15 2026,87,REQUIRES AIAA MEMBERSHIP,CRITICAL (multiple aerospace-focused awards),Join AIAA Day 1 at transfer school; can apply for 2 scholarships; includes David Alan Quick ($1K) + David & Catherine Thompson ($10K) + Daedalus 88 ($10K),URGENT - OPENS OCT,Enroll Fall 2026; join AIAA same week
14,Raytheon STEM Scholarship,$5000-$10000,~Feb 2027,Oct 2026,80,ELIGIBLE,Very High (defense/aerospace corporation; diversity recruitment),Aerospace/defense focus essay; propulsion or systems engineering emphasis,OPENS OCT 2026,Monitor Raytheon (RTX) careers Oct 2026
